city,population
Pennsbury,3871
Alsace,3858
Jefferson township,3856
Oley,3843
Lower Milford,3841
Northumberland,3839
Mount Joy township,3839
Windber,3835
Spring City,3830
Franklin township,3823
Freeland,3822
Woodward township,3821
Irwin borough,3813
Baden,3809
Tinicum township,3806
Point,3792
Zelienople,3791
West Pottsgrove,3788
Sewickley borough,3772
Menallen township,3766
Douglass township,3765
Wallace,3760
Denver,3758
East Franklin,3744
Lawrence Park,3739
Rice,3738
Waynesburg,3728
Paupack,3728
Price,3725
Washington township,3715
Damascus,3704
Greenfield township,3696
Upper Frederick,3696
Union township,3679
Amwell,3657
Hempfield township,3651
Rockland township,3651
Richmond township,3647
Tilden,3629
Tulpehocken,3613
Kelly,3604
Jenner,3602
Wind Gap,3601
Clinton township,3590
Rush township,3580
Slippery Rock borough,3579
Clarion township,3577
Port Vue,3568
Greene township,3562
Buffalo township,3562
Potter township,3558
Muncy Creek,3541
Marlborough,3530
Canaan,3525
Mahanoy City,3520
Manor borough,3520
Sadsbury township,3515
Fox township,3508
Manheim township,3506
Charleston,3503
Kane,3499
Coplay,3494
Hatfield borough,3486
Rush township,3475
Foster township,3465
Pen Argyl,3462
Northern Cambria,3461
Burrell township,3457
South Annville,3449
Shenango township,3442
Mifflinburg,3441
Greenwich,3438
Jenks,3433
Wellsboro,3427
Malvern,3424
North Wales,3416
Lancaster township,3414
Lehman township,3406
Green township,3394
Rochester borough,3393
Pine Creek township,3386
Lower Chichester,3375
Portage township,3367
Nockamixon,3355
Westfall,3355
Conewango,3350
Hegins,3347
Nesquehoning,3344
Forward township,3340
Ebensburg,3337
Mount Pleasant township,3335
Heidelberg township,3335
Conoy,3326
Halifax township,3326
Wharton township,3325
Palmyra township,3319
Etna,3309
Hanover township,3305
Ohioville,3300
Winfield,3300
West Brunswick,3298
Snyder township,3292
Fayette,3290
Wrightstown,3287
Springdale borough,3273
Macungie,3263
Mount Oliver,3261
Ingram,3259
Millvale,3250
Penbrook,3244
Bart,3241
Mount Penn,3235
Athens borough,3231
Centerville borough,3222
Wilkes-Barre township,3216
Pittston township,3215
Fulton,3208
Wheatfield,3203
Blairsville,3203
West Salem,3182
London Britain,3178
Upper Salford,3172
Thornbury township,3162
Masontown,3159
East Greenville,3157
Trafford borough,3154
Wesleyville,3148
Reserve,3145
Washington township,3138
Summit Hill,3134
McSherrystown,3128
Penn township,3128
Brackenridge,3127
Earl township,3124
Harmony township,3119
Wyoming,3118
Union township,3115
Myerstown,3109
Wolf,3096
Strasburg borough,3094
Lower Towamensing,3081
Wormleysburg,3067
Lower Chanceford,3065
Salford,3063
Sharpsburg,3062
Patterson,3061
Mansfield,3058
Heidelberg township,3055
Hereford,3053
West Providence,3048
Mount Pocono,3042
Pulaski township,3038
Upland,3036
Churchill,3035
Pymatuning,3030
Edgewood,3026
Harmar,3025
Springfield township,3015
North Catasauqua,3015
Fawn township,3014
Paint township,3009
Daugherty,3009
Conewago township,3009
Briar Creek township,3007
Orwigsburg,3002
Mahanoy,3001
Kenhorst,2992
Mountville,2991
Pitcairn,2987
Nottingham,2955
Marietta,2954
Freedom township,2951
Forward township,2951
Girard borough,2944
Saltlick,2938
Decatur township,2933
Decatur township,2928
Newton,2927
Chester Heights,2918
Mohnton,2917
Youngwood,2910
Ontelaunee,2907
Penn township,2903
Lower Mount Bethel,2899
Union township,2896
Freemansburg,2894
East St. Clair,2889
Germany,2889
Womelsdorf,2884
Clinton township,2882
Paradise township,2880
Slippery Rock township,2879
Bath,2879
Union City,2866
Lake City,2864
Seven Fields,2862
Quarryville,2859
Homestead,2853
Fermanagh,2852
West Nottingham,2847
West Buffalo,2846
South Franklin,2838
Bedford borough,2830
Cresson township,2828
Bradford township,2818
Harveys Lake,2817
Halfmoon,2813
New Britain borough,2812
Aspinwall,2806
West Grove,2805
South Coventry,2802
Fairfield township,2799
Manchester borough,2788
Delmar,2784
West Mahanoy,2781
Ford City,2781
Spring Brook,2776
East Penn,2775
Walker township,2775
Hallam,2774
Towanda borough,2774
Wernersville,2770
Bear Creek,2765
Rayne,2765
Allegheny township,2764
Hamilton township,2760
South Manheim,2759
St. Clair borough,2756
Morton,2756
Armstrong township,2752
Monaghan,2749
Ross township,2746
Raccoon,2742
North Hopewell,2736
Hayfield,2734
Woodcock township,2731
Morris township,2731
Luzerne borough,2723
Telford borough,2721
Rochester township,2721
Oakland township,2719
Highspire,2713
Philipsburg,2710
Kulpmont,2703
Sadsbury township,2702
Dallas borough,2691
East Lansdowne,2687
Latimore,2685
Stonycreek township,2683
Boggs township,2676
Marysville,2673
Cowanshannock,2672
East Hanover township,2670
Keating township,2664
South Buffalo,2662
West Wyoming,2653
Findley,2650
Mahoning township,2644
Wilmington township,2643
Springhill township,2638
South Beaver,2636
Springfield township,2635
Dillsburg,2634
North Buffalo,2633
New Hope,2631
West Chillisquaque,2623
Bridgewater township,2619
Rockledge,2617
Saville,2614
Drumore,2613
Shohola,2609
Delmont,2607
West Newton,2605
Ashley,2603
Washington township,2600
Butler township,2597
Warwick township,2597
South Pymatuning,2594
Lamar,2593
Londonderry township,2591
Eldred township,2589
Derry borough,2586
North Newton,2584
Yardley,2582
Franklin township,2581
Alburtis,2577
Somerset township,2576
Upper Oxford,2562
Dupont,2556
Weatherly,2551
Hepburn,2549
Pine Grove township,2539
Centre township,2534
Cooper township,2533
Hopewell township,2532
Avoca,2524
Millersburg,2522
Windsor township,2520
Penndel,2515
Curwensville,2501
Letterkenny,2500
Winslow,2496
Reynoldsville,2496
Fannett,2496
Perry township,2493
Spring Grove,2488
Clay township,2487
Coopersburg,2486
Madison township,2485
Red Hill,2484
Ashland borough,2483
Ryan,2476
East Hopewell,2472
McAdoo,2469
West Fallowfield township,2468
Lackawannock,2463
Berlin township,2451
Mount Carmel township,2450
Colwyn,2448
Woodward township,2442
Berwick township,2441
Nanty-Glo,2438
West Sadsbury,2438
Eddystone,2435
Marcus Hook,2432
Upper Augusta,2432
Huntington township,2431
Cherryhill,2429
Center township,2429
Coaldale borough,2427
Emsworth,2426
Wayne township,2418
Matamoras,2417
Parks,2412
North Woodbury,2405
Hanover township,2399
Shade,2398
Muncy borough,2398
Crescent,2395
Verona,2395
Portage borough,2388
